Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Settlement Agreements,"13455 Management, LLC dba Pine Lake Nursing Home",2009003552,,5/13/2009
Defaults and Dismissals,138th Court Grp Home #16,"2018017352, DD17-009C",,6/13/2019
Defaults and Dismissals,141 Beacon Operator LLC,2019012425,,9/18/2019
Defaults and Dismissals,141 Beacon Operator LLC,2019012428,,9/18/2019
Defaults and Dismissals,145th St GRP Home,"2018017349, DD17-005C",,6/13/2019
Defaults and Dismissals,16565 Operating LLC dba Renaissance Gardens,2010007645,,5/16/2011
Defaults and Dismissals,16565 Operating LLC dba Renaissance Gardens,2011007329,,9/29/2011
Defaults and Dismissals,"16565 Operating, LLC",2008000900,,5/22/2008
Settlement Agreements,"1780 Management, LLC dba Jefferson Health and Rehabilitation Cen",2009003554,,5/13/2009
Settlement Agreements,180 Medical Inc,2025005701,25-271PH,8/6/2025
Defaults and Dismissals,1851 Elkcam Boulevard Operations LLC,"CI 15-0364-000, 2015-0000799",,9/8/2015
Defaults and Dismissals,195 Mattie M Kelly Boulevard Operations LLC,NH16872,,10/10/2014
Emergency Orders,"195 Mattie M. Kelly Boulevard Operations, LLC d/b/a Destin Healt",2022005525,,4/22/2022
Emergency Orders,"195 Mattie M. Kelly Boulevard Operations, LLC d/b/a Destin Healt",2022005525,,4/22/2022
Defaults and Dismissals,19th Street,DD13-008C,,4/24/2014
Settlement Agreements,1st Care Support,2010008783,10-782PH,2/23/2011
Defaults and Dismissals,1st Choice DME LLC,2026000724,,5/19/2026
Defaults and Dismissals,1st Choice Healthcare Services LLC,2013002263,,3/22/2013
Settlement Agreements,"1st Choice Healthcare Services, LLC",2008012295,08-5977,2/4/2009
Settlement Agreements,1st Choice Home Health,2010011199,10-10223,2/23/2011
Defaults and Dismissals,1st Choice Home Health,2015005550,,9/8/2015
Settlement Agreements,1st Choice Home Health Care Inc,2005003572,05-224PH,6/29/2005
Settlement Agreements,"1st Choice Home Health Care, Inc",2009008462,,9/1/2010
Settlement Agreements,1st Choice Pharmacy,2017-0006928,,2/25/2019
Settlement Agreements,1st Choice Urgent Care Center LLC,2020016121,20-475PH,11/17/2020
Defaults and Dismissals,1st Class Medical Centers Inc,2015007613,,12/18/2015
Defaults and Dismissals,1st Class Medical Centers of 4th Ave Inc,2015009505,,12/18/2015
Defaults and Dismissals,1st Class Mental Health Services Corp,2022-0022042,,10/10/2022
Defaults and Dismissals,1st Class Mental Health Services Corp,2023-000023016,,6/11/2024
Defaults and Dismissals,1st Comfort Solutions LLC,2018016686,,2/7/2019
Defaults and Dismissals,1st Home Health Care Inc,2010006577,,8/24/2010
Settlement Agreements,1st Kinetic Care,TP00064,,11/2/2011
Defaults and Dismissals,1st Voyager Home Health Care,2022002629,22-190PH,4/18/2022
Settlement Agreements,1st Voyager Home Health Care,2024011671,24-491PH,10/21/2024
Defaults and Dismissals,1zource Living Care,2008011630,,1/5/2009
Settlement Agreements,1zource Living Care,2008009815,08-559PH,1/20/2009
Defaults and Dismissals,2 Bettencourt Boys LLC,2017003699,,5/31/2017
Defaults and Dismissals,2 Friends With A Heart Compassionate Caregivers LLC,2020014015,,10/20/2020
Defaults and Dismissals,2 Heart Home Health Care,2020-0017742,,9/29/2020
Defaults and Dismissals,2 Heart to Heart Group Home Inc,2022004402,22-243PH,6/20/2022
Defaults and Dismissals,2000 Medical Enterprises Inc,2004002345,,5/10/2004
Defaults and Dismissals,2000 Medical Enterprises Inc,2005007236,,12/20/2005
Recommended Orders,2000 Medical Enterprises Inc,2002025161,02-108PH,2/27/2003
Defaults and Dismissals,21st Century Medical Equipment,,97-99PH,8/12/1998
Settlement Agreements,21st Century Oncology d/b/a Uromedix,2008007833,,8/25/2008
Recommended Orders,21st Century Oncology Inc,2004011140,FL04-0086,12/14/2004
Defaults and Dismissals,21st Century Oncology LLC,2013006858,13-350PH,8/8/2013
Settlement Agreements,21st Century Oncology LLC dba Southwest Florida Urologic,2010008308,,10/11/2010
Settlement Agreements,21st Nurse Inc,2002011561,02-4142,4/8/2003
Settlement Agreements,21st Nurse Inc,2003003583,03-184PH,8/28/2003
Defaults and Dismissals,24 7 Total Medical Care PA,2010012733,,2/23/2011
Defaults and Dismissals,24 7 Total Medical Care PA,2010012734,,1/12/2011
,"24 Hour Medical Equipment, Inc",,96-150PH,7/30/1998
Settlement Agreements,24/7 Caregivers Inc,2025019354,26-053PH,3/27/2026
Settlement Agreements,24/7 Total Medical Care,2008012286,08-631PH,3/11/2009
Settlement Agreements,24-7 Total Medical Care PA,2011006566,,9/15/2011
Defaults and Dismissals,2600 Highlands Boulevard North LLC,2015-0004174,,2/4/2016
Defaults and Dismissals,2826 Cleveland Avenue Operations LLC,"CI 15-0368-000, 2015-0000883",,9/23/2015
Settlement Agreements,"2B2E, Inc dba Accessible Home Health Care Of Northeast Florida",2010005762,,9/28/2010
Defaults and Dismissals,3 Gardenias Adult Day Center LLC,2021012647,,10/11/2021
Defaults and Dismissals,3 Generations Inc,2012013045,,2/13/2013
Defaults and Dismissals,305 RX LLC,CI 13-1753-000,,3/3/2014
Settlement Agreements,305Biomedical,2021012896,21-549PH,12/13/2021
Defaults and Dismissals,330 Assisted Living,2003001704,,4/22/2003
Defaults and Dismissals,330 Assisted Living Corp dba 330 Assisted Living Corp,2010006418,,11/24/2010
Defaults and Dismissals,340 Assisted Living,2003001709,,4/22/2003
Defaults and Dismissals,340 Assisted Living Corp,2003002379,,6/27/2003
Settlement Agreements,340 Assisted Living Corp dba 340 Assisted Living Corp,2009001641,09-679PH,7/27/2009
Defaults and Dismissals,3411 Ave Cambridge LLC,2021011723,,9/24/2021
Settlement Agreements,360 Home Care Inc,2009002717,09-244PH,8/27/2009
Settlement Agreements,3611 Transmitter Inc,2015-0004496,,11/16/2016
Settlement Agreements,3611 Transmitter Inc dba Community Health and Rehab Center,NH11-141L,,6/20/2014
Defaults and Dismissals,365 DME,2024007623,,7/15/2024
Defaults and Dismissals,365 Neighbor's Care LLC,2021017630,,2/21/2022
Settlement Agreements,365Care Home Health Agency Inc,2026002587,,4/27/2026
Defaults and Dismissals,365nannys,2022008008,,7/18/2022
Defaults and Dismissals,3735 Evans Avenue Operations,NH16974,,5/5/2015
Defaults and Dismissals,"3865 Tampa Road, LLC",CI 10-1175-800,,11/23/2010
Settlement Agreements,3920 Rosewood Way Operations LLC dba Rosewood Health and Rehabil,2018011517,,2/11/2019
Defaults and Dismissals,3D Living & Home Services Inc,2020-0018269,,8/18/2020
Defaults and Dismissals,3D Providers Corporation,CI 12-2459-000,,2/26/2013
Defaults and Dismissals,3M Rental Medical Equipment Inc,11-01-0108-HME,,9/14/2001
,3R Medical Supply Inc,,96-138PH,11/19/1998
Defaults and Dismissals,3rd Step Mental Health Center Inc,CI 13-1274-000,,10/7/2013
Settlement Agreements,4 Hearts of Love LLC,2024007719,24-308PH,10/21/2024
Defaults and Dismissals,4 R Pain Rehab & Health Clinic,2005004203,,7/8/2005
Defaults and Dismissals,4 Your Health Medical Equipment Inc,2003005814,,10/29/2003
Defaults and Dismissals,4200 Washington Street Operations LLC,"CI 15-0474-000, 2015-0000898",,7/21/2015
Defaults and Dismissals,441 Walk In Clinic LLC,2013012390,,1/31/2014
